Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.32,145,0.2128,509.959,11.7707,-1
6,12,0.32,145,0.216,515.936,11.8395,-1
6,12,0.32,145,0.2192,510.503,11.777,-1
6,12,0.32,145,0.2224,490.941,11.5492,-1
6,12,0.32,145,0.2256,532.238,12.0251,-1
6,12,0.32,145,0.2288,507.514,11.7425,-1
6,12,0.32,145,0.232,526.804,11.9636,-1
6,12,0.32,145,0.2352,538.487,12.0955,-1
6,12,0.32,145,0.2384,564.297,12.382,-1
6,12,0.32,145,0.2416,562.939,12.3671,-1
6,12,0.32,145,0.2448,563.754,12.376,-1
6,12,0.32,145,0.248,592.824,12.6911,-1
6,12,0.32,145,0.2512,605.05,12.8213,-1
6,12,0.32,145,0.2544,608.311,12.8558,-1
6,12,0.32,145,0.2576,649.879,13.2878,-1
6,12,0.32,145,0.2608,672.429,13.5163,-1
6,12,0.32,145,0.264,701.5,13.8054,-1
6,12,0.32,145,0.2672,727.582,14.0597,-1
6,12,0.32,145,0.2704,788.168,14.6334,-1
6,12,0.32,145,0.2736,778.388,14.5423,-1
6,12,0.32,145,0.2768,879.184,15.4552,-1
6,12,0.32,145,0.28,907.711,15.704,-1
6,12,0.32,145,0.2832,984.871,16.3578,-1
6,12,0.32,145,0.2864,1071.27,17.0602,-1
6,12,0.32,145,0.2896,1196.24,18.0279,-1
6,12,0.32,145,0.2928,1342.96,19.1015,-1
6,12,0.32,145,0.296,1493.74,20.1453,-1
6,12,0.32,145,0.2992,1621.17,20.9869,-1
6,12,0.32,145,0.3024,1049.53,16.8863,-1
6,12,0.32,145,0.3056,0,0,-1
6,12,0.32,145,0.3088,0,0,-1
6,12,0.32,145,0.312,0,0,-1
6,12,0.32,145,0.3152,0,0,-1
6,12,0.32,36,0.0016,109149,170.111,1
6,12,0.32,36,0.0048,164420,208.785,1
6,12,0.32,36,0.008,208611,235.175,1
6,12,0.32,36,0.0112,244753,254.733,1
6,12,0.32,36,0.0144,271872,268.475,1
6,12,0.32,36,0.0176,286560,275.632,1
6,12,0.32,36,0.0208,293912,279.146,1
6,12,0.32,36,0.024,292107,278.287,1
6,12,0.32,36,0.0272,283499,274.156,1
6,12,0.32,36,0.0304,273227,269.144,1
6,12,0.32,36,0.0336,262307,263.71,1
6,12,0.32,36,0.0368,248911,256.888,1
6,12,0.32,36,0.04,233817,248.977,1
6,12,0.32,36,0.0432,217443,240.101,1
6,12,0.32,36,0.0464,200794,230.726,1
6,12,0.32,36,0.0496,183385,220.498,1
6,12,0.32,36,0.0528,165822,209.673,1
6,12,0.32,36,0.056,148228,198.238,1
6,12,0.32,36,0.0592,131185,186.493,1
6,12,0.32,36,0.0624,114987,174.601,1
6,12,0.32,36,0.0656,99618.1,162.514,1
6,12,0.32,36,0.0688,85758.4,150.786,1
6,12,0.32,36,0.072,73447.2,139.544,1
6,12,0.32,36,0.0752,61926.9,128.133,1
6,12,0.32,36,0.0784,52252.7,117.7,1
6,12,0.32,36,0.0816,43977.7,107.979,1
6,12,0.32,36,0.0848,36599.4,98.5052,1
6,12,0.32,36,0.088,30767.3,90.3164,1
6,12,0.32,36,0.0912,25610.7,82.401,1
6,12,0.32,36,0.0944,21530.7,75.5529,1
6,12,0.32,36,0.0976,18437,69.9145,1
6,12,0.32,36,0.1008,15567.4,64.2435,1
6,12,0.32,36,0.104,13672,60.2058,1
6,12,0.32,36,0.1072,12144.7,56.7433,1
6,12,0.32,36,0.1104,10878.2,53.7032,1
6,12,0.32,36,0.1136,9934.87,51.3219,1
6,12,0.32,36,0.1168,9182.2,49.3396,1
6,12,0.32,36,0.12,8582.49,47.7011,1
6,12,0.32,36,0.1232,8207.61,46.6477,1
6,12,0.32,36,0.1264,7865.34,45.6647,1
6,12,0.32,36,0.1296,7543.75,44.7214,1
6,12,0.32,36,0.1328,7243.1,43.8212,1
6,12,0.32,36,0.136,7170.46,43.6009,1
6,12,0.32,36,0.1392,7070.51,43.2959,1
6,12,0.32,36,0.1424,6879.09,42.7059,1
6,12,0.32,36,0.1456,6000.48,39.8855,1
6,12,0.32,36,0.1488,5287.84,37.4422,1
6,12,0.32,36,0.152,4369.72,34.0368,1
6,12,0.32,36,0.1552,3543.87,30.6521,1
6,12,0.32,36,0.1584,2777.67,27.137,1
6,12,0.32,36,0.1616,1854.52,22.1737,1
6,12,0.32,36,0.1648,1075.86,16.8888,1
6,12,0.32,36,0.168,251.069,8.15866,1
6,12,0.32,36,0.1712,0,0,1
6,12,0.32,36,0.1744,0,0,1
6,12,0.32,36,0.1776,0,0,1
6,12,0.32,36,0.1808,0,0,1
6,12,0.32,36,0.184,0,0,1
6,12,0.32,36,0.1872,0,0,1
6,12,0.32,36,0.1904,0,0,1
6,12,0.32,36,0.1936,0,0,1
6,12,0.32,36,0.1968,0,0,1
6,12,0.32,36,0.2,0,0,1
6,12,0.32,36,0.2032,0,0,1
6,12,0.32,36,0.2064,0,0,1
6,12,0.32,36,0.2096,0,0,1
6,12,0.32,36,0.2128,0,0,1
6,12,0.32,36,0.216,0,0,1
6,12,0.32,36,0.2192,0,0,1
6,12,0.32,36,0.2224,0,0,1
6,12,0.32,36,0.2256,0,0,1
6,12,0.32,36,0.2288,0,0,1
6,12,0.32,36,0.232,0,0,1
6,12,0.32,36,0.2352,0,0,1
6,12,0.32,36,0.2384,0,0,1
6,12,0.32,36,0.2416,0,0,1
6,12,0.32,36,0.2448,0,0,1
6,12,0.32,36,0.248,0,0,1
6,12,0.32,36,0.2512,0,0,1
6,12,0.32,36,0.2544,0,0,1
6,12,0.32,36,0.2576,0,0,1
6,12,0.32,36,0.2608,0,0,1
6,12,0.32,36,0.264,0,0,1
6,12,0.32,36,0.2672,0,0,1
6,12,0.32,36,0.2704,0,0,1
6,12,0.32,36,0.2736,0,0,1
6,12,0.32,36,0.2768,0,0,1
6,12,0.32,36,0.28,0,0,1
6,12,0.32,36,0.2832,0,0,1
6,12,0.32,36,0.2864,0,0,1
6,12,0.32,36,0.2896,0,0,1
6,12,0.32,36,0.2928,0,0,1
6,12,0.32,36,0.296,0,0,1
6,12,0.32,36,0.2992,0,0,1
6,12,0.32,36,0.3024,0,0,1
6,12,0.32,36,0.3056,0,0,1
6,12,0.32,36,0.3088,0,0,1
6,12,0.32,36,0.312,0,0,1
6,12,0.32,36,0.3152,0,0,1
6,12,0.32,60,0.0016,900.788,12.7314,1
6,12,0.32,60,0.0048,2988.47,23.1895,1
6,12,0.32,60,0.008,5368.56,31.081,1
6,12,0.32,60,0.0112,7826.93,37.5285,1
6,12,0.32,60,0.0144,10037.2,42.4983,1
6,12,0.32,60,0.0176,12443.3,47.3189,1
6,12,0.32,60,0.0208,14595.6,51.248,1
6,12,0.32,60,0.024,16629.5,54.7023,1
6,12,0.32,60,0.0272,18484,57.6718,1
6,12,0.32,60,0.0304,20354.7,60.5198,1
6,12,0.32,60,0.0336,22407.1,63.4978,1
6,12,0.32,60,0.0368,24125.3,65.8874,1
6,12,0.32,60,0.04,25516.3,67.7602,1
6,12,0.32,60,0.0432,26787.7,69.4279,1
6,12,0.32,60,0.0464,27519.6,70.3699,1
6,12,0.32,60,0.0496,27936,70.9002,1
6,12,0.32,60,0.0528,28275,71.3291,1
6,12,0.32,60,0.056,28297.1,71.3571,1
6,12,0.32,60,0.0592,28031.9,71.0219,1
6,12,0.32,60,0.0624,27521.6,70.3724,1
6,12,0.32,60,0.0656,26735.2,69.3598,1
6,12,0.32,60,0.0688,25906.4,68.2762,1
6,12,0.32,60,0.072,24810.2,66.8161,1
6,12,0.32,60,0.0752,23666.8,65.2584,1
6,12,0.32,60,0.0784,22443.2,63.549,1
6,12,0.32,60,0.0816,21089,61.6019,1
6,12,0.32,60,0.0848,19758.7,59.6273,1
6,12,0.32,60,0.088,18456.4,57.6289,1
6,12,0.32,60,0.0912,16982.7,55.2802,1
6,12,0.32,60,0.0944,15745.6,53.2287,1
6,12,0.32,60,0.0976,14343,50.8026,1
6,12,0.32,60,0.1008,13190.6,48.719,1
6,12,0.32,60,0.104,11955.3,46.3817,1
6,12,0.32,60,0.1072,10860.2,44.2064,1
6,12,0.32,60,0.1104,9662.69,41.698,1
6,12,0.32,60,0.1136,8693.53,39.5516,1
6,12,0.32,60,0.1168,7849.06,37.5816,1
6,12,0.32,60,0.12,6949.53,35.3626,1
6,12,0.32,60,0.1232,6289.5,33.6414,1
6,12,0.32,60,0.1264,5599.79,31.7433,1
6,12,0.32,60,0.1296,5058.34,30.1696,1
6,12,0.32,60,0.1328,4494.59,28.4388,1
6,12,0.32,60,0.136,4023.14,26.906,1
6,12,0.32,60,0.1392,3660.74,25.6655,1
6,12,0.32,60,0.1424,3363.29,24.6007,1
6,12,0.32,60,0.1456,3097.7,23.6094,1
6,12,0.32,60,0.1488,2854.96,22.6655,1
6,12,0.32,60,0.152,2686.71,21.9875,1
6,12,0.32,60,0.1552,2522.06,21.3032,1
6,12,0.32,60,0.1584,2399.52,20.7792,1
6,12,0.32,60,0.1616,2323.95,20.4493,1
6,12,0.32,60,0.1648,2223.9,20.0043,1
6,12,0.32,60,0.168,2170.82,19.7641,1
6,12,0.32,60,0.1712,2157.68,19.7042,1
6,12,0.32,60,0.1744,2151.92,19.6779,1
6,12,0.32,60,0.1776,2132.49,19.5889,1
6,12,0.32,60,0.1808,2174.06,19.7789,1
6,12,0.32,60,0.184,2209.32,19.9387,1
6,12,0.32,60,0.1872,2218.32,19.9792,1
6,12,0.32,60,0.1904,2266.19,20.1936,1
6,12,0.32,60,0.1936,2335.1,20.4984,1
6,12,0.32,60,0.1968,2431.91,20.919,1
6,12,0.32,60,0.2,2475.1,21.1039,1
6,12,0.32,60,0.2032,2522.06,21.3032,1
6,12,0.32,60,0.2064,2607.54,21.6611,1
6,12,0.32,60,0.2096,2667.46,21.9086,1
6,12,0.32,60,0.2128,2709.02,22.0786,1
6,12,0.32,60,0.216,2761.93,22.2932,1
6,12,0.32,60,0.2192,2901.56,22.8498,1
6,12,0.32,60,0.2224,2926.03,22.9459,1
6,12,0.32,60,0.2256,2991.35,23.2006,1
6,12,0.32,60,0.2288,3026.44,23.3363,1
6,12,0.32,60,0.232,3156.36,23.8319,1
6,12,0.32,60,0.2352,3156.9,23.834,1
6,12,0.32,60,0.2384,3192.53,23.9681,1
6,12,0.32,60,0.2416,3267.74,24.2488,1
6,12,0.32,60,0.2448,3342.96,24.5263,1
6,12,0.32,60,0.248,3364.19,24.604,1
6,12,0.32,60,0.2512,3151.86,23.8149,1
6,12,0.32,60,0.2544,2629.31,21.7514,1
6,12,0.32,60,0.2576,1195.53,14.6672,1
6,12,0.32,60,0.2608,64.2392,3.3999,1
6,12,0.32,60,0.264,0,0,1
6,12,0.32,60,0.2672,0,0,1
6,12,0.32,60,0.2704,0,0,1
6,12,0.32,60,0.2736,0,0,1
6,12,0.32,60,0.2768,0,0,1
6,12,0.32,60,0.28,0,0,1
6,12,0.32,60,0.2832,0,0,1
6,12,0.32,60,0.2864,0,0,1
6,12,0.32,60,0.2896,0,0,1
6,12,0.32,60,0.2928,0,0,1
6,12,0.32,60,0.296,0,0,1
6,12,0.32,60,0.2992,0,0,1
6,12,0.32,60,0.3024,0,0,1
6,12,0.32,60,0.3056,0,0,1
6,12,0.32,60,0.3088,0,0,1
6,12,0.32,60,0.312,0,0,1
6,12,0.32,60,0.3152,0,0,1
6,12,0.32,90,0.0016,0,0,-1
6,12,0.32,90,0.0048,3.11668,0.696911,-1
6,12,0.32,90,0.008,42.5427,2.5748,-1
6,12,0.32,90,0.0112,107.214,4.08749,-1
6,12,0.32,90,0.0144,219.882,5.85364,-1
6,12,0.32,90,0.0176,330.68,7.17853,-1
6,12,0.32,90,0.0208,447.711,8.35277,-1
6,12,0.32,90,0.024,583.443,9.53522,-1
6,12,0.32,90,0.0272,731.485,10.6766,-1
6,12,0.32,90,0.0304,922.538,11.9901,-1
6,12,0.32,90,0.0336,1162.37,13.4587,-1
6,12,0.32,90,0.0368,1434.76,14.9528,-1
6,12,0.32,90,0.04,1675.06,16.1565,-1
6,12,0.32,90,0.0432,1974.57,17.5416,-1
6,12,0.32,90,0.0464,2250.24,18.7261,-1
6,12,0.32,90,0.0496,2512.2,19.786,-1
6,12,0.32,90,0.0528,2799.56,20.887,-1
6,12,0.32,90,0.056,3134.29,22.1004,-1
6,12,0.32,90,0.0592,3406.85,23.0413,-1
6,12,0.32,90,0.0624,3630.47,23.7855,-1
6,12,0.32,90,0.0656,3900.22,24.6533,-1
6,12,0.32,90,0.0688,4083.95,25.2273,-1
6,12,0.32,90,0.072,4272.35,25.8027,-1
6,12,0.32,90,0.0752,4507.03,26.5019,-1
6,12,0.32,90,0.0784,4645.42,26.9057,-1
6,12,0.32,90,0.0816,4737.51,27.1711,-1
6,12,0.32,90,0.0848,4776.94,27.2839,-1
6,12,0.32,90,0.088,4864.21,27.532,-1
6,12,0.32,90,0.0912,4848.16,27.4865,-1
6,12,0.32,90,0.0944,4917.66,27.6828,-1
6,12,0.32,90,0.0976,4795.17,27.3359,-1
6,12,0.32,90,0.1008,4775.85,27.2808,-1
6,12,0.32,90,0.104,4690.45,27.0358,-1
6,12,0.32,90,0.1072,4560.95,26.6599,-1
6,12,0.32,90,0.1104,4486,26.44,-1
6,12,0.32,90,0.1136,4325.33,25.9622,-1
6,12,0.32,90,0.1168,4147.68,25.4234,-1
6,12,0.32,90,0.12,3972.99,24.8823,-1
6,12,0.32,90,0.1232,3787.08,24.2931,-1
6,12,0.32,90,0.1264,3573.9,23.5995,-1
6,12,0.32,90,0.1296,3395.31,23.0023,-1
6,12,0.32,90,0.1328,3214.39,22.3811,-1
6,12,0.32,90,0.136,3023.03,21.7046,-1
6,12,0.32,90,0.1392,2797.07,20.8777,-1
6,12,0.32,90,0.1424,2651.52,20.3272,-1
6,12,0.32,90,0.1456,2459.69,19.5781,-1
6,12,0.32,90,0.1488,2258.97,18.7623,-1
6,12,0.32,90,0.152,2088.02,18.0384,-1
6,12,0.32,90,0.1552,1943.56,17.4033,-1
6,12,0.32,90,0.1584,1788.98,16.6968,-1
6,12,0.32,90,0.1616,1679.58,16.1783,-1
6,12,0.32,90,0.1648,1553.2,15.5577,-1
6,12,0.32,90,0.168,1481.67,15.1952,-1
6,12,0.32,90,0.1712,1356.54,14.5394,-1
6,12,0.32,90,0.1744,1253.37,13.9756,-1
6,12,0.32,90,0.1776,1239.97,13.9007,-1
6,12,0.32,90,0.1808,1168.29,13.4929,-1
6,12,0.32,90,0.184,1102.21,13.1058,-1
6,12,0.32,90,0.1872,1073.7,12.9352,-1
6,12,0.32,90,0.1904,1034.58,12.6974,-1
6,12,0.32,90,0.1936,1009.18,12.5405,-1
6,12,0.32,90,0.1968,1008.09,12.5338,-1
6,12,0.32,90,0.2,1004.04,12.5085,-1
6,12,0.32,90,0.2032,1038.17,12.7193,-1
6,12,0.32,90,0.2064,1043.31,12.7508,-1
6,12,0.32,90,0.2096,1046.74,12.7717,-1
6,12,0.32,90,0.2128,1059.52,12.8495,-1
6,12,0.32,90,0.216,1087.1,13.0156,-1
6,12,0.32,90,0.2192,1130.58,13.2734,-1
6,12,0.32,90,0.2224,1130.26,13.2715,-1
6,12,0.32,90,0.2256,1171.25,13.51,-1
6,12,0.32,90,0.2288,1199.77,13.6735,-1
6,12,0.32,90,0.232,1253.53,13.9765,-1
6,12,0.32,90,0.2352,1257.89,14.0008,-1
6,12,0.32,90,0.2384,1309.47,14.285,-1
6,12,0.32,90,0.2416,1327.4,14.3824,-1
6,12,0.32,90,0.2448,1341.26,14.4573,-1
6,12,0.32,90,0.248,1381.78,14.6741,-1
6,12,0.32,90,0.2512,1437.41,14.9666,-1
6,12,0.32,90,0.2544,1474.35,15.1576,-1
6,12,0.32,90,0.2576,1524.84,15.415,-1
6,12,0.32,90,0.2608,1578.76,15.6852,-1
6,12,0.32,90,0.264,1665.71,16.1113,-1
6,12,0.32,90,0.2672,1682.85,16.194,-1
6,12,0.32,90,0.2704,1793.34,16.7172,-1
6,12,0.32,90,0.2736,1877.18,17.1035,-1
6,12,0.32,90,0.2768,2037.53,17.819,-1
6,12,0.32,90,0.28,2144.43,18.2805,-1
6,12,0.32,90,0.2832,2072.59,17.9717,-1
6,12,0.32,90,0.2864,2046.88,17.8598,-1
6,12,0.32,90,0.2896,490.878,8.74617,-1
6,12,0.32,90,0.2928,0,0,-1
6,12,0.32,90,0.296,0,0,-1
6,12,0.32,90,0.2992,0,0,-1
6,12,0.32,90,0.3024,0,0,-1
6,12,0.32,90,0.3056,0,0,-1
6,12,0.32,90,0.3088,0,0,-1
6,12,0.32,90,0.312,0,0,-1
6,12,0.32,90,0.3152,0,0,-1
6,12,3.269,21.98,0.016345,0,0,-1
6,12,3.269,21.98,0.049035,0,0,-1
6,12,3.269,21.98,0.081725,0,0,-1
6,12,3.269,21.98,0.114415,0,0,-1
6,12,3.269,21.98,0.147105,0,0,-1
6,12,3.269,21.98,0.179795,0,0,-1
6,12,3.269,21.98,0.212485,0,0,-1
6,12,3.269,21.98,0.245175,0.379507,0.189753,-1
6,12,3.269,21.98,0.277865,0.759013,0.268352,-1
6,12,3.269,21.98,0.310555,1.80266,0.413558,-1
6,12,3.269,21.98,0.343245,6.16698,0.76492,-1
6,12,3.269,21.98,0.375935,13.093,1.11455,-1
6,12,3.269,21.98,0.408625,30.2657,1.69455,-1
6,12,3.269,21.98,0.441315,57.4953,2.33558,-1
6,12,3.269,21.98,0.474005,94.592,2.99576,-1
6,12,3.269,21.98,0.506695,157.116,3.86091,-1
6,12,3.269,21.98,0.539385,225.901,4.62955,-1
6,12,3.269,21.98,0.572075,292.03,5.26373,-1
6,12,3.269,21.98,0.604765,363.093,5.86933,-1
6,12,3.269,21.98,0.637455,406.641,6.21134,-1
6,12,3.269,21.98,0.670145,458.064,6.59239,-1
6,12,3.269,21.98,0.702835,474.004,6.70611,-1
6,12,3.269,21.98,0.735525,500.949,6.89408,-1
6,12,3.269,21.98,0.768215,522.77,7.04263,-1
6,12,3.269,21.98,0.800905,531.404,7.10055,-1
6,12,3.269,21.98,0.833595,546.3,7.19938,-1
6,12,3.269,21.98,0.866285,566.698,7.33256,-1
6,12,3.269,21.98,0.898975,603.226,7.56519,-1
6,12,3.269,21.98,0.931665,618.691,7.66155,-1
6,12,3.269,21.98,0.964355,638.994,7.78625,-1
6,12,3.269,21.98,0.997045,659.013,7.90727,-1
6,12,3.269,21.98,1.02974,667.457,7.95777,-1
6,12,3.269,21.98,1.06243,703.795,8.17152,-1
6,12,3.269,21.98,1.09512,738.994,8.37337,-1
6,12,3.269,21.98,1.12781,773.719,8.56784,-1
6,12,3.269,21.98,1.1605,829.127,8.86932,-1
6,12,3.269,21.98,1.19319,890.702,9.19276,-1
6,12,3.269,21.98,1.22588,940.133,9.4444,-1
6,12,3.269,21.98,1.25857,985.104,9.66765,-1
6,12,3.269,21.98,1.29126,1062.81,10.0417,-1
6,12,3.269,21.98,1.32395,1105.98,10.2436,-1
6,12,3.269,21.98,1.35664,1158.06,10.482,-1
6,12,3.269,21.98,1.38933,1204.27,10.6891,-1
6,12,3.269,21.98,1.42202,1236.43,10.8309,-1
6,12,3.269,21.98,1.45471,1252.75,10.9021,-1
6,12,3.269,21.98,1.4874,1260.82,10.9372,-1
6,12,3.269,21.98,1.52009,1261.1,10.9384,-1
6,12,3.269,21.98,1.55278,1239.85,10.8459,-1
6,12,3.269,21.98,1.58547,1228.37,10.7955,-1
6,12,3.269,21.98,1.61816,1210.53,10.7169,-1
6,12,3.269,21.98,1.65085,1193.55,10.6414,-1
6,12,3.269,21.98,1.68354,1194.78,10.6469,-1
6,12,3.269,21.98,1.71623,1170.97,10.5403,-1
6,12,3.269,21.98,1.74892,1169.17,10.5322,-1
6,12,3.269,21.98,1.78161,1149.05,10.4412,-1
6,12,3.269,21.98,1.8143,1105.88,10.2432,-1
6,12,3.269,21.98,1.84699,1095.16,10.1934,-1
6,12,3.269,21.98,1.87968,1069.35,10.0726,-1
6,12,3.269,21.98,1.91237,1045.54,9.95979,-1
6,12,3.269,21.98,1.94506,1030.08,9.88586,-1
6,12,3.269,21.98,1.97775,1039.37,9.93037,-1
6,12,3.269,21.98,2.01044,1029.89,9.88495,-1
6,12,3.269,21.98,2.04312,1008.35,9.78104,-1
6,12,3.269,21.98,2.07581,1009.2,9.78518,-1
6,12,3.269,21.98,2.10851,973.909,9.61255,-1
6,12,3.269,21.98,2.1412,981.404,9.64947,-1
6,12,3.269,21.98,2.17389,960.626,9.54678,-1
6,12,3.269,21.98,2.20657,962.334,9.55526,-1
6,12,3.269,21.98,2.23927,934.25,9.4148,-1
6,12,3.269,21.98,2.27196,933.586,9.41146,-1
6,12,3.269,21.98,2.30465,929.317,9.38991,-1
6,12,3.269,21.98,2.33733,918.786,9.33656,-1
6,12,3.269,21.98,2.37003,925.332,9.36976,-1
6,12,3.269,21.98,2.40272,916.319,9.32401,-1
6,12,3.269,21.98,2.43541,882.827,9.15203,-1
6,12,3.269,21.98,2.46809,879.696,9.13579,-1
6,12,3.269,21.98,2.50079,869.07,9.08044,-1
6,12,3.269,21.98,2.53348,853.89,9.00079,-1
6,12,3.269,21.98,2.56617,838.804,8.92093,-1
6,12,3.269,21.98,2.59885,836.338,8.9078,-1
6,12,3.269,21.98,2.63155,805.123,8.73999,-1
6,12,3.269,21.98,2.66424,768.406,8.53837,-1
6,12,3.269,21.98,2.69693,768.406,8.53837,-1
6,12,3.269,21.98,2.72962,739.184,8.37444,-1
6,12,3.269,21.98,2.76231,713.093,8.22532,-1
6,12,3.269,21.98,2.795,687.002,8.07344,-1
6,12,3.269,21.98,2.82769,656.452,7.89189,-1
6,12,3.269,21.98,2.86038,619.26,7.66507,-1
6,12,3.269,21.98,2.89306,585.389,7.4525,-1
6,12,3.269,21.98,2.92576,580.645,7.42224,-1
6,12,3.269,21.98,2.95845,531.973,7.10435,-1
6,12,3.269,21.98,2.99114,503.321,6.91038,-1
6,12,3.269,21.98,3.02382,451.233,6.54305,-1
6,12,3.269,21.98,3.05652,418.311,6.29984,-1
6,12,3.269,21.98,3.08921,365.275,5.88694,-1
6,12,3.269,21.98,3.1219,316.034,5.47579,-1
6,12,3.269,21.98,3.15459,254.839,4.91714,-1
6,12,3.269,21.98,3.18728,191.271,4.25995,-1
6,12,3.269,21.98,3.21997,93.4535,2.97768,-1
6,12,3.269,32.98,0.016345,0,0,-1
6,12,3.269,32.98,0.049035,0,0,-1
6,12,3.269,32.98,0.081725,0,0,-1
6,12,3.269,32.98,0.114415,0,0,-1
6,12,3.269,32.98,0.147105,0,0,-1
6,12,3.269,32.98,0.179795,0,0,-1
6,12,3.269,32.98,0.212485,0,0,-1
6,12,3.269,32.98,0.245175,0,0,-1
6,12,3.269,32.98,0.277865,0,0,-1
6,12,3.269,32.98,0.310555,0,0,-1
6,12,3.269,32.98,0.343245,0,0,-1
6,12,3.269,32.98,0.375935,0,0,-1
6,12,3.269,32.98,0.408625,0,0,-1
6,12,3.269,32.98,0.441315,0,0,-1
6,12,3.269,32.98,0.474005,0,0,-1
6,12,3.269,32.98,0.506695,0,0,-1
6,12,3.269,32.98,0.539385,0,0,-1
6,12,3.269,32.98,0.572075,0,0,-1
6,12,3.269,32.98,0.604765,0,0,-1
6,12,3.269,32.98,0.637455,0,0,-1
6,12,3.269,32.98,0.670145,0.0652355,0.0652355,-1
6,12,3.269,32.98,0.702835,0,0,-1
6,12,3.269,32.98,0.735525,0,0,-1
6,12,3.269,32.98,0.768215,0.195707,0.112991,-1
6,12,3.269,32.98,0.800905,0.130471,0.092257,-1
6,12,3.269,32.98,0.833595,0.456649,0.172597,-1
6,12,3.269,32.98,0.866285,0.652355,0.206293,-1
6,12,3.269,32.98,0.898975,2.54419,0.407396,-1
6,12,3.269,32.98,0.931665,3.45748,0.474922,-1
6,12,3.269,32.98,0.964355,4.82743,0.561177,-1
6,12,3.269,32.98,0.997045,6.45832,0.649085,-1
6,12,3.269,32.98,1.02974,8.41538,0.740933,-1
6,12,3.269,32.98,1.06243,10.9596,0.845549,-1
6,12,3.269,32.98,1.09512,13.1123,0.924873,-1
6,12,3.269,32.98,1.12781,15.1346,0.993638,-1
6,12,3.269,32.98,1.1605,20.0925,1.14488,-1
6,12,3.269,32.98,1.19319,20.0925,1.14488,-1
6,12,3.269,32.98,1.22588,27.9208,1.3496,-1
6,12,3.269,32.98,1.25857,28.6384,1.36684,-1
6,12,3.269,32.98,1.29126,31.1173,1.42477,-1
6,12,3.269,32.98,1.32395,32.8787,1.46453,-1
6,12,3.269,32.98,1.35664,40.446,1.62435,-1
6,12,3.269,32.98,1.38933,42.1421,1.65806,-1
6,12,3.269,32.98,1.42202,44.034,1.69487,-1
6,12,3.269,32.98,1.45471,51.6013,1.83473,-1
6,12,3.269,32.98,1.4874,56.6244,1.92196,-1
6,12,3.269,32.98,1.52009,62.6261,2.02125,-1
6,12,3.269,32.98,1.55278,73.6509,2.19195,-1
6,12,3.269,32.98,1.58547,89.0465,2.41019,-1
6,12,3.269,32.98,1.61816,93.5477,2.47035,-1
6,12,3.269,32.98,1.65085,105.225,2.62,-1
6,12,3.269,32.98,1.68354,121.534,2.81573,-1
6,12,3.269,32.98,1.71623,125.056,2.85624,-1
6,12,3.269,32.98,1.74892,137.516,2.99516,-1
6,12,3.269,32.98,1.78161,147.432,3.10126,-1
6,12,3.269,32.98,1.8143,153.434,3.16375,-1
6,12,3.269,32.98,1.84699,165.698,3.28777,-1
6,12,3.269,32.98,1.87968,171.569,3.34551,-1
6,12,3.269,32.98,1.91237,169.417,3.32445,-1
6,12,3.269,32.98,1.94506,176.788,3.39601,-1
6,12,3.269,32.98,1.97775,182.203,3.44762,-1
6,12,3.269,32.98,2.01044,185.856,3.48201,-1
6,12,3.269,32.98,2.04312,189.64,3.51728,-1
6,12,3.269,32.98,2.07581,197.272,3.58736,-1
6,12,3.269,32.98,2.10851,196.685,3.58202,-1
6,12,3.269,32.98,2.1412,202.752,3.63684,-1
6,12,3.269,32.98,2.17389,210.711,3.70754,-1
6,12,3.269,32.98,2.20657,205.296,3.65959,-1
6,12,3.269,32.98,2.23927,213.255,3.72985,-1
6,12,3.269,32.98,2.27196,216.843,3.7611,-1
6,12,3.269,32.98,2.30465,224.932,3.83061,-1
6,12,3.269,32.98,2.33733,228.911,3.86434,-1
6,12,3.269,32.98,2.37003,227.868,3.85552,-1
6,12,3.269,32.98,2.40272,237.588,3.9369,-1
6,12,3.269,32.98,2.43541,235.044,3.91576,-1
6,12,3.269,32.98,2.46809,243.72,3.98738,-1
6,12,3.269,32.98,2.50079,247.96,4.02192,-1
6,12,3.269,32.98,2.53348,246.395,4.0092,-1
6,12,3.269,32.98,2.56617,250.961,4.04618,-1
6,12,3.269,32.98,2.59885,263.291,4.14438,-1
6,12,3.269,32.98,2.63155,256.376,4.0896,-1
6,12,3.269,32.98,2.66424,261.268,4.12843,-1
6,12,3.269,32.98,2.69693,265.9,4.16487,-1
6,12,3.269,32.98,2.72962,259.115,4.11139,-1
6,12,3.269,32.98,2.76231,264.465,4.15361,-1
6,12,3.269,32.98,2.795,264.269,4.15208,-1
6,12,3.269,32.98,2.82769,261.007,4.12637,-1
6,12,3.269,32.98,2.86038,263.747,4.14797,-1
6,12,3.269,32.98,2.89306,266.683,4.17099,-1
6,12,3.269,32.98,2.92576,262.964,4.14181,-1
6,12,3.269,32.98,2.95845,258.463,4.10621,-1
6,12,3.269,32.98,2.99114,246.721,4.01185,-1
6,12,3.269,32.98,3.02382,242.872,3.98044,-1
6,12,3.269,32.98,3.05652,224.802,3.8295,-1
6,12,3.269,32.98,3.08921,218.017,3.77127,-1
6,12,3.269,32.98,3.1219,189.379,3.51486,-1
